# t, hp, hx
1.596535662799999922e-02 -1.314698006199999927e-03 -4.995639218999999858e-08
1.598914375299999996e-02 -1.285081960700000005e-03 2.119974590599999889e-07
1.601255331200000104e-02 -1.282519322899999901e-03 5.599640119800000048e-07
1.603634944800000003e-02 -1.297004670800000004e-03 1.000788689799999920e-06
1.606013646600000164e-02 -1.376955933199999933e-03 1.545669711199999944e-06
1.608393123600000002e-02 -1.553082205400000077e-03 2.152288354699999909e-06
1.610771681100000088e-02 -1.842842849300000037e-03 2.803359340900000054e-06
1.613150285400000161e-02 -2.239397381099999824e-03 3.357451058600000193e-06
1.615528426599999873e-02 -2.678507891799999843e-03 3.804960400899999950e-06
1.617907438400000009e-02 -3.068550665099999998e-03 4.248709366400000261e-06
1.620286536600000146e-02 -3.270628711699999965e-03 4.439567476699999878e-06
1.622665271099999959e-02 -3.253562281800000209e-03 4.477423875199999727e-06
1.625044667199999904e-02 -3.037105419000000073e-03 4.546636197200000284e-06
1.627423368599999892e-02 -2.706822276399999897e-03 4.433087441200000183e-06
1.629802380100000073e-02 -2.373970783999999890e-03 4.145364753800000265e-06
1.632181447099999988e-02 -2.047903155799999861e-03 3.732787724800000184e-06
1.634559932300000060e-02 -1.755011604099999956e-03 3.212397710400000189e-06
1.636938317900000009e-02 -1.521647810200000075e-03 2.644360228600000211e-06
1.639316676099999981e-02 -1.354262654799999986e-03 2.019754259100000188e-06
1.641695019100000014e-02 -1.250716046899999967e-03 1.325265887800000031e-06
1.644073488900000060e-02 -1.196225554799999974e-03 5.432964162200000495e-07
1.646451802299999864e-02 -1.179043639700000064e-03 -3.257701289100000258e-07
1.648830418500000020e-02 -1.208426095700000083e-03 -1.317182280200000101e-06
1.651208658300000118e-02 -1.292077902899999974e-03 -2.478903889300000139e-06
1.653587428399999962e-02 -1.464342245599999960e-03 -3.794968385699999958e-06
1.655966184500000035e-02 -1.760650261299999972e-03 -5.116867624499999693e-06
1.658344999799999872e-02 -2.159263449100000051e-03 -6.349263700899999995e-06
1.660723838299999963e-02 -2.611570995499999832e-03 -7.685819498199999265e-06
1.663102639199999858e-02 -3.014023230799999994e-03 -8.800699549200000814e-06
1.665481068700000108e-02 -3.232004617299999872e-03 -9.551349921800000243e-06
1.667859252700000169e-02 -3.232262160999999859e-03 -1.015523765000000061e-05
1.670238158399999992e-02 -3.042306677499999942e-03 -1.051215485299999951e-05
1.672617031400000162e-02 -2.731014476599999841e-03 -1.060506663900000012e-05
1.674995024300000163e-02 -2.400587760399999944e-03 -1.045278532499999928e-05
1.677373924199999922e-02 -2.066103798699999924e-03 -1.010955402999999921e-05
1.679752501499999842e-02 -1.757202190499999915e-03 -9.529078256000000701e-06
1.682131652599999985e-02 -1.503474164899999991e-03 -8.632785066899999183e-06
1.684510769599999874e-02 -1.323631523099999974e-03 -7.380043749799999592e-06
1.686889237799999927e-02 -1.217354889500000051e-03 -5.638275813999999593e-06
1.689268061100000079e-02 -1.157244271699999936e-03 -3.263285965500000129e-06
1.691647369799999939e-02 -1.141664693900000093e-03 -1.813753255700000046e-07
1.694026615099999966e-02 -1.199412216400000094e-03 3.612247549299999925e-06
1.696405761900000170e-02 -1.355759596100000091e-03 7.976575378399999706e-06
1.698785441100000154e-02 -1.614033055699999912e-03 1.260757239699999993e-05
1.701139784099999983e-02 -2.006443280500000079e-03 1.722834500400000006e-05
1.703519466900000126e-02 -2.492502911300000044e-03 2.136576806799999858e-05
1.705898118999999921e-02 -2.998855711600000203e-03 2.451464018499999859e-05
1.708276815299999973e-02 -3.401245211899999940e-03 2.625433974699999980e-05
1.710654961200000143e-02 -3.580413711600000017e-03 2.642370882200000082e-05
1.713034001999999903e-02 -3.553899240200000201e-03 2.504311910000000109e-05
1.715412723400000158e-02 -3.350369006400000065e-03 2.228792671200000001e-05
1.717791726000000158e-02 -3.051159600300000149e-03 1.843977238899999888e-05
1.720170396600000096e-02 -2.730497174400000216e-03 1.378630057000000063e-05
1.722549356900000134e-02 -2.395716683200000037e-03 8.573527140199999657e-06
1.724928127700000105e-02 -2.064852473600000196e-03 2.997318665299999935e-06
1.727306260099999852e-02 -1.740799105400000048e-03 -2.759252972399999950e-06
1.729685469499999892e-02 -1.453049281000000055e-03 -8.592430490699999414e-06
1.732064138900000008e-02 -1.187173149800000013e-03 -1.457079939000000001e-05
1.734443150700000144e-02 -9.522670747100000360e-04 -2.053566946399999909e-05
1.736821624499999828e-02 -7.809557586199999957e-04 -2.634087330399999938e-05
1.739200463200000005e-02 -6.875914696400000498e-04 -3.188486725600000093e-05
1.741579122500000118e-02 -7.197843354100000183e-04 -3.675867006600000311e-05
1.743958089399999870e-02 -9.144344580000000064e-04 -4.045481136400000285e-05
1.746336529399999948e-02 -1.246901584699999918e-03 -4.247963447400000185e-05
1.748715765600000055e-02 -1.653358548200000106e-03 -4.241341502599999875e-05
1.751095245400000056e-02 -2.010665735899999813e-03 -4.004034356700000033e-05
1.753474335899999834e-02 -2.197418566299999976e-03 -3.528934050799999769e-05
1.755852887900000159e-02 -2.223652085000000101e-03 -2.850695597300000110e-05
1.758231625699999828e-02 -2.114818762199999810e-03 -2.022121795099999920e-05
1.760610520400000129e-02 -1.940610059900000055e-03 -1.086226243200000026e-05
1.762989181599999844e-02 -1.766678264200000027e-03 -9.892181601900000868e-07
1.765367799100000037e-02 -1.605873316400000016e-03 8.878945781000000605e-06
1.767746656800000052e-02 -1.468530423000000053e-03 1.829719380500000021e-05
1.770125311199999968e-02 -1.362059523900000088e-03 2.692841201100000086e-05
1.772504413100000134e-02 -1.324206297199999934e-03 3.452106270400000248e-05
1.774883429899999990e-02 -1.326056574399999939e-03 4.080280065800000308e-05
1.777262515799999873e-02 -1.362649741400000052e-03 4.548498369800000322e-05
1.779641866899999911e-02 -1.484073573700000082e-03 4.836940581300000209e-05
1.782020525300000158e-02 -1.701357873299999936e-03 4.925841934100000233e-05
1.784399077600000091e-02 -2.000558821499999907e-03 4.796498833699999937e-05
1.786777472099999875e-02 -2.400875636299999900e-03 4.443548051800000071e-05
1.789156516600000010e-02 -2.859909111500000094e-03 3.879494086299999903e-05
1.791535586700000043e-02 -3.246388504600000030e-03 3.138757571100000049e-05
1.793914500500000050e-02 -3.423703712500000135e-03 2.268031544000000046e-05
1.796293490800000142e-02 -3.336076588799999961e-03 1.319755237099999977e-05
1.798672005900000051e-02 -3.057841011399999812e-03 3.735527810699999822e-06
1.801019286299999911e-02 -2.628399986200000149e-03 -5.414687740699999895e-06
1.803399562599999895e-02 -2.156202164000000070e-03 -1.388368619400000026e-05
1.805778329800000054e-02 -1.700171553899999972e-03 -2.133536461000000006e-05
1.808157822600000089e-02 -1.286499987700000106e-03 -2.748369700000000094e-05
1.810538129599999907e-02 -9.341254568499999470e-04 -3.219439963000000102e-05
1.812918872900000020e-02 -6.719609887299999836e-04 -3.538509014900000083e-05
1.815299243599999973e-02 -5.359621240500000517e-04 -3.698992356699999846e-05
1.817679035200000029e-02 -4.729777430599999997e-04 -3.696192977199999928e-05
1.820058213700000149e-02 -5.058528980699999794e-04 -3.541384878600000276e-05
1.822437326499999968e-02 -6.659962992300000155e-04 -3.245771109099999810e-05
